RANK,SEASON,LEAGUE,AGE,HEIGHT,WEIGHT,G,MP,PER_GAME_FG,PER_GAME_FGA,PER_GAME_3P,PER_GAME_3PA,PER_GAME_FT,PER_GAME_FTA,PER_GAME_ORB,PER_GAME_DRB,PER_GAME_TRB,PER_GAME_AST,PER_GAME_STL,PER_GAME_BLK,PER_GAME_TOV,PER_GAME_PF,PER_GAME_PTS,FG%,3P%,FT%,PACE,eFG%,TOV%,ORB%,FT/FGA,ORTG,TEAM,PLAYOFF_TEAM,AVERAGE_DISTANCE,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,FGA_16-3PT,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3PT,FG%_3P,%ASTD_2P,%FGA_DUNKS,DUNKS_MADE,%FGA_LAYUPS,LAYUPS_MADE,%ASTD_3P,%FGA3P_CORNER,FG%3_CORNER,HEAVE_ATTEMPTS,HEAVE_MAKES,AVERAGE_AGE,W,L,W/L%,PW,PL,MOV,SOS,SRS,DRTG,NRTG,FT_RATE,3PA_RATE,TS%,OFFENSIVE_EFG%,OFFENSIVE_TOV%,OFFENSIVE_ORB%,OFFENSIVE_FT/FGA,DEFENSIVE_eFG%,DEFENSIVE_TOV%,DEFENSIVE_DRB%,DEFENSIVE_FT/FGA,ARENA,TOTAL_ATTENDANCE,ATTENDANCE/G,PER_100_FG,PER_100_FGA,PER_100_3P,PER_100_3PA,PER_100_FT,PER_100_FTA,PER_100_ORB,PER_100_DRB,PER_100_TRB,PER_100_AST,PER_100_STL,PER_100_BLK,PER_100_TOV,PER_100_PF,PER_100_PTS,3PT%,EFG%
41,1978-1979,NBA,26.3,6-6,203.0,902,241.1,44.5,91.7,,,21.3,28.3,14.8,30.4,45.2,25.8,9.1,5.4,19.8,25.3,110.3,0.485,,0.752,105.8,0.485,16.0,32.8,0.23199999999999998,103.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,86.3,,,20.0,26.6,14.0,28.6,42.5,24.2,8.6,5.0,18.6,23.8,103.8,,0.485
42,1977-1978,NBA,26.2,6-6,204.0,902,241.8,43.6,92.9,,,21.4,28.4,15.0,32.1,47.1,25.0,9.6,5.1,20.1,25.2,108.5,0.469,,0.752,106.7,0.469,16.0,31.8,0.23,100.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,86.4,,,19.9,26.4,13.9,29.9,43.8,23.3,8.9,4.8,18.7,23.4,100.9,,0.469
43,1976-1977,NBA,26.1,6-6,204.0,902,241.0,42.8,92.0,,,20.8,27.7,15.0,32.1,47.1,23.9,9.4,5.1,20.6,25.2,106.5,0.465,,0.7509999999999999,106.5,0.465,16.5,31.8,0.226,99.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,86.0,,,19.5,25.9,14.0,30.0,44.0,22.3,8.8,4.7,19.2,23.6,99.5,,0.465
44,1975-1976,NBA,26.5,6-6,204.0,738,241.4,42.1,91.7,,,20.2,26.9,14.4,33.0,47.4,23.0,8.9,4.4,19.8,24.8,104.3,0.45799999999999996,,0.7509999999999999,105.5,0.45799999999999996,16.0,30.3,0.221,98.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6,86.4,,,19.1,25.4,13.5,31.1,44.6,21.7,8.4,4.2,18.6,23.4,98.3,,0.45799999999999996
45,1974-1975,NBA,26.7,6-6,203.0,738,241.4,41.7,91.1,,,19.3,25.2,14.2,32.9,47.1,23.8,8.8,4.3,19.8,24.3,102.6,0.457,,0.765,104.5,0.457,16.3,30.2,0.21100000000000002,97.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7,86.7,,,18.3,24.0,13.5,31.3,44.8,22.7,8.4,4.1,18.9,23.1,97.7,,0.457
46,1973-1974,NBA,26.9,6-6,205.0,697,241.0,43.1,93.9,,,19.6,25.4,14.7,33.5,48.2,24.6,8.7,4.7,20.8,23.8,105.7,0.45899999999999996,,0.7709999999999999,107.8,0.45899999999999996,16.5,30.5,0.209,97.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,86.7,,,18.1,23.5,13.6,31.0,44.6,22.8,8.0,4.3,19.2,22.0,97.7,,0.45899999999999996
47,1972-1973,NBA,26.7,6-6,205.0,697,240.9,44.2,96.9,,,19.2,25.3,,,50.6,25.2,,,,22.8,107.6,0.456,,0.758,,0.456,,,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456
48,1971-1972,NBA,26.6,6-6,206.0,697,241.1,43.4,95.5,,,23.3,31.2,,,51.1,24.1,,,,23.6,110.2,0.455,,0.748,,0.455,,,0.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.455
49,1970-1971,NBA,26.6,6-6,205.0,697,241.0,44.0,98.0,,,24.3,32.7,,,53.1,24.3,,,,24.4,112.4,0.449,,0.745,,0.449,,,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.449
50,1969-1970,NBA,26.8,6-6,205.0,574,241.6,45.7,99.4,,,25.3,33.7,,,52.9,24.7,,,,25.1,116.7,0.46,,0.7509999999999999,,0.46,,,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
51,1968-1969,NBA,26.9,6-6,207.0,574,241.4,43.7,99.0,,,25.0,35.0,,,56.9,23.1,,,,25.5,112.3,0.441,,0.7140000000000001,,0.441,,,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441
52,1967-1968,NBA,26.8,6-6,206.0,492,241.4,45.0,100.8,,,26.7,37.1,,,66.2,22.8,,,,26.3,116.6,0.446,,0.72,,0.446,,,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446
53,1966-1967,NBA,26.6,6-6,206.0,405,241.3,45.5,103.1,,,26.5,36.2,,,67.3,22.4,,,,26.2,117.4,0.441,,0.732,,0.441,,,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441
54,1965-1966,NBA,26.6,6-6,207.0,360,240.5,44.3,102.4,,,26.9,37.0,,,68.2,22.9,,,,26.2,115.5,0.433,,0.727,,0.433,,,0.262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433
55,1964-1965,NBA,26.4,6-6,208.0,360,241.7,42.5,99.8,,,25.6,35.6,,,67.3,21.0,,,,25.9,110.6,0.426,,0.721,,0.426,,,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426
56,1963-1964,NBA,26.4,6-6,207.0,360,,42.9,99.1,,,25.3,35.0,,,65.9,21.4,,,,26.8,111.0,0.433,,0.722,,0.433,,,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433
57,1962-1963,NBA,26.3,6-6,205.0,360,,44.6,101.2,,,26.1,35.9,,,66.7,22.7,,,,26.0,115.3,0.441,,0.727,,0.441,,,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441
58,1961-1962,NBA,26.4,6-5,205.0,360,,45.9,107.7,,,27.0,37.1,,,71.4,23.9,,,,25.9,118.8,0.426,,0.727,,0.426,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.426
59,1960-1961,NBA,26.4,6-5,205.0,316,,45.4,109.4,,,27.4,37.4,,,73.3,24.2,,,,26.8,118.1,0.415,,0.733,,0.415,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.415
60,1959-1960,NBA,26.5,6-5,204.0,300,,44.5,108.7,,,26.3,35.8,,,73.5,22.6,,,,25.6,115.3,0.41,,0.735,,0.41,,,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41
61,1958-1959,NBA,26.4,6-5,202.0,288,,40.4,102.3,,,27.4,36.3,,,70.0,19.6,,,,26.0,108.2,0.395,,0.7559999999999999,,0.395,,,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395
62,1957-1958,NBA,26.8,6-5,201.0,288,,39.0,101.9,,,28.6,38.3,,,71.7,19.6,,,,25.5,106.6,0.38299999999999995,,0.746,,0.38299999999999995,,,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38299999999999995
63,1956-1957,NBA,26.2,6-5,201.0,288,,35.9,94.6,,,27.7,36.9,,,62.4,18.9,,,,25.1,99.6,0.38,,0.7509999999999999,,0.38,,,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
64,1955-1956,NBA,26.3,6-5,199.0,288,,35.3,91.4,,,28.4,38.0,,,60.1,24.3,,,,26.4,99.0,0.387,,0.745,,0.387,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387
65,1954-1955,NBA,26.7,6-5,197.0,288,,33.3,86.4,,,26.5,35.9,,,56.1,23.6,,,,24.8,93.1,0.385,,0.738,,0.385,,,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385
66,1953-1954,NBA,26.4,6-4,197.0,324,,28.1,75.4,,,23.4,33.0,,,50.9,20.3,,,,25.4,79.5,0.37200000000000005,,0.7090000000000001,,0.37200000000000005,,,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37200000000000005
67,1952-1953,NBA,26.4,6-4,196.0,351,,28.5,77.1,,,25.7,35.9,,,51.5,21.0,,,,28.8,82.7,0.37,,0.716,,0.37,,,0.33299999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37
68,1951-1952,NBA,26.3,6-4,195.0,330,,29.6,80.8,,,24.4,33.2,,,54.5,21.9,,,,26.9,83.7,0.36700000000000005,,0.735,,0.36700000000000005,,,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36700000000000005
69,1950-1951,NBA,,,,354,,29.8,83.6,,,24.5,33.4,,,49.5,21.0,,,,27.0,84.1,0.35700000000000004,,0.733,,0.35700000000000004,,,0.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35700000000000004
70,1949-1950,NBA,,,,561,,28.2,83.1,,,23.6,33.0,,,,19.6,,,,27.0,80.0,0.34,,0.7140000000000001,,0.34,,,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
71,1948-1949,BAA,,,,360,,29.0,88.7,,,22.0,31.3,,,,18.6,,,,25.6,80.0,0.327,,0.703,,0.327,,,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.327
72,1947-1948,BAA,,,,192,,27.2,96.0,,,18.2,27.0,,,,7.0,,,,22.2,72.7,0.284,,0.675,,0.284,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284
73,1946-1947,BAA,,,,331,,25.9,92.9,,,15.9,24.8,,,,6.9,,,,20.8,67.8,0.27899999999999997,,0.6409999999999999,,0.27899999999999997,,,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27899999999999997
